 format: day,hour,forecast,value  location:60_127 Start : 20240701 
 1,1100,+34,23.000000 
 1,1100,+35,22.000000 
 1,1100,+36,23.000000 
 1,1100,+37,24.000000 
 1,1100,+38,24.000000 
 1,1100,+39,25.000000 
 1,1100,+40,25.000000 
 1,1100,+41,26.000000 
 1,1100,+42,26.000000 
 1,1100,+43,26.000000 
 1,1100,+44,26.000000 
 1,1100,+45,26.000000 
 1,1100,+46,25.000000 
 1,1100,+47,25.000000 
 1,1100,+48,24.000000 
 1,1100,+49,23.000000 
 1,1100,+50,23.000000 
 1,1100,+51,23.000000 
 1,1100,+52,23.000000 
 1,1100,+53,22.000000 
 1,1100,+54,22.000000 
 1,1100,+55,22.000000 
 1,1100,+56,22.000000 
 1,1100,+57,22.000000 
 1,1100,+58,22.000000 
 1,1100,+59,22.000000 
 1,1100,+60,23.000000 
 1,1100,+61,24.000000 
 1,1100,+62,25.000000 
 1,1100,+63,26.000000 
 1,1100,+64,26.000000 
 1,1100,+65,26.000000 
 1,1100,+66,25.000000 
 1,1100,+67,25.000000 
 1,1100,+68,25.000000 
 1,1100,+69,25.000000 
 1,1100,+70,25.000000 
 1,1100,+71,24.000000 
 1,1100,+72,24.000000 
 1,1100,+73,24.000000 
 1,1100,+74,23.000000 
 1,1100,+75,24.000000 
 1,1100,+76,23.000000 
 1,1400,+6,24.000000 
 1,1400,+7,24.000000 
 1,1400,+8,25.000000 
 1,1400,+9,25.000000 
 1,1400,+10,25.000000 
 1,1400,+11,24.000000 
 1,1400,+12,24.000000 
 1,1400,+13,24.000000 
 1,1400,+14,23.000000 
 1,1400,+15,23.000000 
 1,1400,+16,23.000000 
 1,1400,+17,24.000000 
 1,1400,+18,24.000000 
 1,1400,+19,25.000000 
 1,1400,+20,25.000000 
 1,1400,+21,25.000000 
 1,1400,+22,26.000000 
 1,1400,+23,26.000000 
 1,1400,+24,26.000000 
 1,1400,+25,26.000000 
 1,1400,+26,25.000000 
 1,1400,+27,24.000000 
 1,1400,+28,24.000000 
 1,1400,+29,23.000000 
 1,1400,+30,23.000000 
 1,1400,+31,23.000000 
 1,1400,+32,22.000000 
 1,1400,+33,23.000000 
 1,1400,+34,24.000000 
 1,1400,+35,24.000000 
 1,1400,+36,25.000000 
 1,1400,+37,25.000000 
 1,1400,+38,26.000000 
 1,1400,+39,26.000000 
 1,1400,+40,26.000000 
 1,1400,+41,26.000000 
 1,1400,+42,26.000000 
 1,1400,+43,25.000000 
 1,1400,+44,25.000000 
 1,1400,+45,24.000000 
