 format: day,hour,forecast,value  location:60_127 Start : 20240101 
 11,2300,+13,0.000000 
 11,2300,+14,0.000000 
 11,2300,+15,0.000000 
 11,2300,+16,0.000000 
 11,2300,+17,0.000000 
 11,2300,+18,0.000000 
 11,2300,+19,0.000000 
 11,2300,+20,0.000000 
 11,2300,+21,0.000000 
 11,2300,+22,0.000000 
 11,2300,+23,0.000000 
 11,2300,+24,0.000000 
 11,2300,+25,0.000000 
 11,2300,+26,0.000000 
 11,2300,+27,0.000000 
 11,2300,+28,0.000000 
 11,2300,+29,0.000000 
 11,2300,+30,0.000000 
 11,2300,+31,0.000000 
 11,2300,+32,0.000000 
 11,2300,+33,0.000000 
 11,2300,+34,0.000000 
 11,2300,+35,0.000000 
 11,2300,+36,0.000000 
 11,2300,+37,0.000000 
 11,2300,+38,20.000000 
 11,2300,+39,0.000000 
 11,2300,+40,0.000000 
 11,2300,+41,0.000000 
 11,2300,+42,0.000000 
 11,2300,+43,0.000000 
 11,2300,+44,0.000000 
 11,2300,+45,0.000000 
 11,2300,+46,20.000000 
 11,2300,+47,30.000000 
 11,2300,+48,30.000000 
 11,2300,+49,30.000000 
 11,2300,+50,30.000000 
 11,2300,+51,30.000000 
 11,2300,+52,30.000000 
 11,2300,+53,60.000000 
 11,2300,+54,60.000000 
 11,2300,+55,60.000000 
 11,2300,+56,60.000000 
 11,2300,+57,20.000000 
 11,2300,+58,0.000000 
 11,2300,+59,0.000000 
 11,2300,+60,0.000000 
 11,2300,+61,0.000000 
 11,2300,+62,0.000000 
 11,2300,+63,0.000000 
 11,2300,+64,0.000000 
 Start : 20240102 
 2,0200,+6,30.000000 
 2,0200,+7,30.000000 
 2,0200,+8,30.000000 
 2,0200,+9,30.000000 
 2,0200,+10,30.000000 
 2,0200,+11,30.000000 
 2,0200,+12,30.000000 
 2,0200,+13,30.000000 
 2,0200,+14,30.000000 
 2,0200,+15,30.000000 
 2,0200,+16,30.000000 
 2,0200,+17,30.000000 
 2,0200,+18,30.000000 
 2,0200,+19,30.000000 
 2,0200,+20,30.000000 
 2,0200,+21,30.000000 
 2,0200,+22,30.000000 
 2,0200,+23,30.000000 
 2,0200,+24,30.000000 
 2,0200,+25,30.000000 
 2,0200,+26,30.000000 
 2,0200,+27,30.000000 
 2,0200,+28,30.000000 
 2,0200,+29,30.000000 
 2,0200,+30,30.000000 
 2,0200,+31,20.000000 
 2,0200,+32,0.000000 
 2,0200,+33,0.000000 
 2,0200,+34,0.000000 
 2,0200,+35,0.000000 
 2,0200,+36,0.000000 
 2,0200,+37,0.000000 
 2,0200,+38,0.000000 
 2,0200,+39,0.000000 
 2,0200,+40,0.000000 
 2,0200,+41,0.000000 
 2,0200,+42,0.000000 
 2,0200,+43,0.000000 
 2,0200,+44,0.000000 
 2,0200,+45,0.000000 
 2,0200,+46,0.000000 
 2,0200,+47,0.000000 
 2,0200,+48,0.000000 
 2,0200,+49,0.000000 
 2,0200,+50,20.000000 
 2,0200,+51,30.000000 
 2,0200,+52,20.000000 
 2,0200,+53,20.000000 
 2,0200,+54,20.000000 
 2,0200,+55,20.000000 
 2,0200,+56,30.000000 
 2,0200,+57,30.000000 
 2,0200,+58,30.000000 
 2,0200,+59,30.000000 
 2,0200,+60,30.000000 
 2,0200,+61,30.000000 
 2,0500,+6,30.000000 
 2,0500,+7,30.000000 
 2,0500,+8,30.000000 
 2,0500,+9,30.000000 
 2,0500,+10,30.000000 
 2,0500,+11,30.000000 
 2,0500,+12,30.000000 
 2,0500,+13,30.000000 
 2,0500,+14,30.000000 
 2,0500,+15,30.000000 
 2,0500,+16,30.000000 
 2,0500,+17,30.000000 
 2,0500,+18,30.000000 
 2,0500,+19,30.000000 
 2,0500,+20,30.000000 
 2,0500,+21,30.000000 
 2,0500,+22,30.000000 
 2,0500,+23,30.000000 
 2,0500,+24,30.000000 
 2,0500,+25,30.000000 
 2,0500,+26,30.000000 
 2,0500,+27,30.000000 
 2,0500,+28,20.000000 
 2,0500,+29,0.000000 
 2,0500,+30,0.000000 
 2,0500,+31,0.000000 
 2,0500,+32,0.000000 
 2,0500,+33,0.000000 
 2,0500,+34,0.000000 
 2,0500,+35,0.000000 
 2,0500,+36,0.000000 
 2,0500,+37,0.000000 
 2,0500,+38,0.000000 
 2,0500,+39,0.000000 
 2,0500,+40,0.000000 
 2,0500,+41,0.000000 
 2,0500,+42,0.000000 
 2,0500,+43,0.000000 
 2,0500,+44,0.000000 
 2,0500,+45,0.000000 
 2,0500,+46,0.000000 
 2,0500,+47,20.000000 
 2,0500,+48,30.000000 
 2,0500,+49,20.000000 
 2,0500,+50,20.000000 
 2,0500,+51,20.000000 
 2,0500,+52,20.000000 
 2,0500,+53,30.000000 
 2,0500,+54,30.000000 
 2,0500,+55,30.000000 
 2,0500,+56,30.000000 
 2,0500,+57,30.000000 
 2,0500,+58,30.000000 
 2,0800,+6,30.000000 
 2,0800,+7,30.000000 
 2,0800,+8,30.000000 
 2,0800,+9,30.000000 
 2,0800,+10,30.000000 
 2,0800,+11,30.000000 
 2,0800,+12,30.000000 
 2,0800,+13,30.000000 
 2,0800,+14,30.000000 
 2,0800,+15,30.000000 
 2,0800,+16,30.000000 
 2,0800,+17,30.000000 
 2,0800,+18,30.000000 
 2,0800,+19,60.000000 
 2,0800,+20,60.000000 
 2,0800,+21,30.000000 
 2,0800,+22,30.000000 
 2,0800,+23,30.000000 
 2,0800,+24,30.000000 
 2,0800,+25,20.000000 
 2,0800,+26,0.000000 
 2,0800,+27,0.000000 
 2,0800,+28,0.000000 
 2,0800,+29,0.000000 
 2,0800,+30,0.000000 
 2,0800,+31,0.000000 
 2,0800,+32,0.000000 
 2,0800,+33,0.000000 
 2,0800,+34,0.000000 
 2,0800,+35,0.000000 
 2,0800,+36,0.000000 
 2,0800,+37,0.000000 
 2,0800,+38,0.000000 
 2,0800,+39,0.000000 
 2,0800,+40,0.000000 
 2,0800,+41,0.000000 
 2,0800,+42,0.000000 
 2,0800,+43,0.000000 
 2,0800,+44,20.000000 
 2,0800,+45,30.000000 
 2,0800,+46,20.000000 
 2,0800,+47,20.000000 
 2,0800,+48,20.000000 
 2,0800,+49,20.000000 
 2,0800,+50,30.000000 
 2,0800,+51,30.000000 
 2,0800,+52,30.000000 
 2,0800,+53,30.000000 
 2,0800,+54,30.000000 
 2,0800,+55,30.000000 
 2,0800,+56,30.000000 
 2,0800,+57,30.000000 
 2,0800,+58,30.000000 
 2,0800,+59,30.000000 
 2,0800,+60,30.000000 
 2,0800,+61,30.000000 
 2,0800,+62,30.000000 
 2,0800,+63,30.000000 
 2,0800,+64,30.000000 
 2,0800,+65,30.000000 
 2,0800,+66,30.000000 
 2,0800,+67,30.000000 
 2,0800,+68,30.000000 
 2,0800,+69,20.000000 
 2,0800,+70,20.000000 
 2,0800,+71,0.000000 
 2,0800,+72,0.000000 
 2,0800,+73,0.000000 
 2,0800,+74,0.000000 
 2,0800,+75,0.000000 
 2,0800,+76,0.000000 
 2,0800,+77,0.000000 
 2,0800,+78,0.000000 
 2,0800,+79,0.000000 
 2,1100,+6,30.000000 
 2,1100,+7,30.000000 
 2,1100,+8,30.000000 
 2,1100,+9,30.000000 
 2,1100,+10,30.000000 
 2,1100,+11,30.000000 
 2,1100,+12,30.000000 
 2,1100,+13,30.000000 
 2,1100,+14,30.000000 
 2,1100,+15,30.000000 
 2,1100,+16,60.000000 
 2,1100,+17,60.000000 
 2,1100,+18,30.000000 
 2,1100,+19,30.000000 
 2,1100,+20,30.000000 
 2,1100,+21,30.000000 
 2,1100,+22,20.000000 
 2,1100,+23,0.000000 
 2,1100,+24,0.000000 
 2,1100,+25,0.000000 
 2,1100,+26,0.000000 
 2,1100,+27,0.000000 
 2,1100,+28,0.000000 
 2,1100,+29,0.000000 
 2,1100,+30,0.000000 
 2,1100,+31,0.000000 
 2,1100,+32,0.000000 
 2,1100,+33,0.000000 
 2,1100,+34,0.000000 
 2,1100,+35,0.000000 
 2,1100,+36,0.000000 
 2,1100,+37,0.000000 
 2,1100,+38,0.000000 
 2,1100,+39,0.000000 
 2,1100,+40,0.000000 
 2,1100,+41,20.000000 
 2,1100,+42,30.000000 
 2,1100,+43,20.000000 
 2,1100,+44,20.000000 
 2,1100,+45,20.000000 
 2,1100,+46,20.000000 
 2,1100,+47,30.000000 
 2,1100,+48,30.000000 
 2,1100,+49,30.000000 
 2,1100,+50,30.000000 
 2,1100,+51,30.000000 
 2,1100,+52,30.000000 
 2,1100,+53,30.000000 
 2,1100,+54,30.000000 
 2,1100,+55,30.000000 
 2,1100,+56,30.000000 
 2,1100,+57,30.000000 
 2,1100,+58,30.000000 
 2,1100,+59,30.000000 
 2,1100,+60,30.000000 
 2,1100,+61,30.000000 
 2,1100,+62,30.000000 
 2,1100,+63,30.000000 
 2,1100,+64,30.000000 
 2,1100,+65,30.000000 
 2,1100,+66,20.000000 
 2,1100,+67,20.000000 
 2,1100,+68,0.000000 
 2,1100,+69,0.000000 
 2,1100,+70,0.000000 
 2,1100,+71,0.000000 
 2,1100,+72,0.000000 
 2,1100,+73,0.000000 
 2,1100,+74,0.000000 
 2,1100,+75,0.000000 
 2,1100,+76,0.000000 
 2,1400,+6,30.000000 
 2,1400,+7,30.000000 
 2,1400,+8,30.000000 
 2,1400,+9,30.000000 
 2,1400,+10,30.000000 
 2,1400,+11,30.000000 
 2,1400,+12,30.000000 
 2,1400,+13,60.000000 
 2,1400,+14,60.000000 
 2,1400,+15,30.000000 
 2,1400,+16,30.000000 
 2,1400,+17,30.000000 
 2,1400,+18,30.000000 
 2,1400,+19,20.000000 
 2,1400,+20,0.000000 
 2,1400,+21,0.000000 
 2,1400,+22,0.000000 
 2,1400,+23,0.000000 
 2,1400,+24,0.000000 
 2,1400,+25,0.000000 
 2,1400,+26,0.000000 
 2,1400,+27,0.000000 
 2,1400,+28,0.000000 
 2,1400,+29,0.000000 
 2,1400,+30,0.000000 
 2,1400,+31,0.000000 
 2,1400,+32,0.000000 
 2,1400,+33,0.000000 
 2,1400,+34,0.000000 
 2,1400,+35,0.000000 
 2,1400,+36,0.000000 
 2,1400,+37,0.000000 
 2,1400,+38,20.000000 
 2,1400,+39,30.000000 
 2,1400,+40,20.000000 
 2,1400,+41,20.000000 
 2,1400,+42,20.000000 
 2,1400,+43,20.000000 
 2,1400,+44,30.000000 
 2,1400,+45,30.000000 
 2,1400,+46,30.000000 
 2,1400,+47,30.000000 
 2,1400,+48,30.000000 
 2,1400,+49,30.000000 
 2,1400,+50,30.000000 
 2,1400,+51,30.000000 
 2,1400,+52,30.000000 
 2,1400,+53,30.000000 
 2,1400,+54,30.000000 
 2,1400,+55,30.000000 
 2,1400,+56,30.000000 
 2,1400,+57,30.000000 
 2,1400,+58,30.000000 
 2,1400,+59,30.000000 
 2,1400,+60,30.000000 
 2,1400,+61,30.000000 
 2,1400,+62,30.000000 
 2,1400,+63,20.000000 
 2,1400,+64,20.000000 
 2,1400,+65,0.000000 
 2,1400,+66,0.000000 
 2,1400,+67,0.000000 
 2,1400,+68,0.000000 
 2,1400,+69,0.000000 
 2,1400,+70,0.000000 
 2,1400,+71,0.000000 
 2,1400,+72,0.000000 
 2,1400,+73,0.000000 
 2,1700,+6,30.000000 
 2,1700,+7,30.000000 
 2,1700,+8,30.000000 
 2,1700,+9,30.000000 
 2,1700,+10,60.000000 
 2,1700,+11,60.000000 
 2,1700,+12,30.000000 
 2,1700,+13,30.000000 
 2,1700,+14,30.000000 
 2,1700,+15,30.000000 
 2,1700,+16,20.000000 
 2,1700,+17,0.000000 
 2,1700,+18,0.000000 
 2,1700,+19,0.000000 
 2,1700,+20,0.000000 
 2,1700,+21,0.000000 
 2,1700,+22,0.000000 
 2,1700,+23,0.000000 
 2,1700,+24,0.000000 
 2,1700,+25,0.000000 
 2,1700,+26,0.000000 
 2,1700,+27,0.000000 
 2,1700,+28,0.000000 
 2,1700,+29,0.000000 
 2,1700,+30,0.000000 
 2,1700,+31,0.000000 
 2,1700,+32,0.000000 
 2,1700,+33,0.000000 
 2,1700,+34,0.000000 
 2,1700,+35,20.000000 
 2,1700,+36,30.000000 
 2,1700,+37,20.000000 
 2,1700,+38,20.000000 
 2,1700,+39,20.000000 
