연도,출생아수,사망자수
2011,"471,265","257,396"
2012,"484,550","267,221"
2013,"436,455","266,257"
2014,"435,435","267,692"
2015,"438,420","275,895"
2016,"406,243","280,827"
2017,"357,771","285,534"
2018,"326,900","298,820"
